db,model,auc
poker-8-9_vs_6,OCSVM,0.5671232876712329
poker-8-9_vs_6,manhattanBRM,0.4321917808219178
poker-8-9_vs_6,cosineBRM,0.576027397260274
poker-8-9_vs_6,chebyshevBRM,0.09452054794520548
page-blocks-1-3_vs_4,BRM,0.3352059925093633
page-blocks-1-3_vs_4,GMM,0.5
page-blocks-1-3_vs_4,ISOF,0.28370786516853935
page-blocks-1-3_vs_4,OCSVM,0.37453183520599254
page-blocks-1-3_vs_4,manhattanBRM,0.3389513108614232
page-blocks-1-3_vs_4,cosineBRM,0.22846441947565546
page-blocks-1-3_vs_4,chebyshevBRM,0.32397003745318353
poker-9_vs_7,BRM,0.021276595744680826
poker-9_vs_7,GMM,0.4787234042553192
poker-9_vs_7,ISOF,0.43617021276595747
poker-9_vs_7,OCSVM,0.17021276595744683
poker-9_vs_7,manhattanBRM,0.010638297872340441
poker-9_vs_7,cosineBRM,0.23404255319148937
poker-9_vs_7,chebyshevBRM,0.010638297872340441
new-thyroid2,BRM,0.07539682539682539
new-thyroid2,GMM,0.4166666666666667
new-thyroid2,ISOF,0.21230158730158727
new-thyroid2,OCSVM,0.2797619047619047
new-thyroid2,manhattanBRM,0.09920634920634921
new-thyroid2,cosineBRM,0.09523809523809523
new-thyroid2,chebyshevBRM,0.05555555555555556
page-blocks0,BRM,0.33998510390931547
page-blocks0,GMM,0.5
page-blocks0,ISOF,0.30346243278593227
page-blocks0,OCSVM,0.3350167126871094
page-blocks0,manhattanBRM,0.3735376398779247
page-blocks0,cosineBRM,0.2817450225257957
page-blocks0,chebyshevBRM,0.3306568812672577
